iter	Passed	Remaining
465	762	874
466	764	872
467	765	870
468	766	868
469	768	866
470	769	864
471	770	861
472	771	859
473	773	858
474	775	856
475	776	854
476	777	852
477	778	850
478	780	848
479	781	846
480	782	844
481	784	842
482	785	840
483	787	839
484	789	838
485	790	836
486	792	834
487	793	832
488	794	830
489	796	828
490	797	826
491	798	824
492	800	823
493	802	821
494	803	819
495	804	817
496	806	815
497	807	813
498	808	811
499	809	809
500	811	807
501	812	805
502	813	803
503	816	803
504	817	801
505	818	799
506	820	797
507	821	795
508	822	793
509	823	791
510	825	789
511	826	787
512	827	785
513	829	784
514	831	783
515	833	781
516	834	779
517	835	777
518	836	775
519	838	773
520	839	771
521	840	769
522	841	767
523	844	767
524	846	765
525	847	763
526	848	761
527	849	759
528	851	757
529	852	755
530	853	753
531	854	752
532	856	750
533	858	749
534	860	747
535	861	745
536	862	743
537	864	741
538	865	739
539	866	737
540	867	736
541	868	734
542	869	732
543	871	730
544	873	729
545	875	727
546	876	725
547	877	724
548	879	722
549	880	720
550	882	718
551	883	717
552	886	716
553	887	714
554	889	713
555	890	711
556	891	709
557	893	707
558	894	705
559	895	703
560	897	701
561	898	700
562	900	699
563	902	697
564	903	695
565	904	693
566	905	691
567	907	689
568	908	688
569	909	686
570	910	684
571	912	682
572	914	681
573	916	679
574	917	678
575	918	676
576	920	674
577	921	672
578	922	670
579	924	669
580	925	667
581	926	665
582	929	664
583	931	663
584	932	661
585	933	659
586	934	657
587	935	655
588	937	653
589	938	652
590	939	650
591	941	648
592	943	647
593	945	645
594	946	644
595	947	642
596	948	640
597	950	638
598	951	636
599	952	635
600	953	633
601	955	631
602	956	629
603	958	628
604	959	626
605	960	624
606	961	622
607	963	621
608	964	619
609	965	617
610	966	615
611	968	613
612	970	612
613	972	611
614	973	609
615	974	607
616	976	605
617	977	604
618	978	602
619	979	600
620	980	598
621	982	596
622	984	595
623	985	594
624	987	592
625	988	590
626	990	588
627	991	587
628	992	585
629	993	583
630	994	581
631	995	579
632	997	578
633	999	576
634	1000	575
635	1001	573
636	1003	571
637	1004	569
638	1005	567
639	1006	566
640	1007	564
641	1009	562
642	1011	561
643	1013	560
644	1014	558
645	1016	557
646	1018	555
647	1019	554
648	1020	552
649	1022	550
650	1025	549
651	1027	548
652	1028	546
653	1030	544
654	1031	543
655	1032	541
656	1034	539
657	1035	538
658	1037	536
659	1039	535
660	1040	533
661	1041	531
662	1043	530
663	1044	528
664	1045	526
665	1047	525
666	1048	523
667	1052	522
668	1053	521
669	1055	519
670	1056	517
671	1057	516
672	1059	514
673	1060	512
674	1061	511
675	1063	509
676	1065	508
677	1066	506
678	1068	505
679	1069	503
680	1071	501
681	1072	500
682	1073	498
683	1074	496
684	1076	494
685	1077	493
686	1081	492
687	1082	491
688	1084	489
689	1085	487
690	1087	486
691	1088	484
692	1089	482
693	1091	481
694	1093	479
695	1095	478
696	1096	476
697	1098	475
698	1099	473
699	1100	471
700	1102	470
701	1103	468
702	1104	466
703	1106	465
704	1108	463
705	1109	462
706	1111	460
707	1112	458
708	1113	457
709	1115	455
710	1116	453
711	1117	452
712	1118	450
713	1121	449
714	1123	447
715	1125	446
716	1126	444
717	1127	442
718	1129	441
719	1130	439
720	1131	437
721	1133	436
722	1136	435
723	1137	433
724	1139	432
725	1140	430
726	1141	428
727	1143	427
728	1144	425
729	1145	423
730	1147	422
731	1148	420
732	1150	419
733	1152	417
734	1153	415
735	1154	414
736	1156	412
737	1157	410
738	1158	409
739	1160	407
740	1161	406
741	1164	404
742	1165	403
743	1167	401
744	1168	400
745	1169	398
746	1171	396
747	1172	395
748	1173	393
749	1175	391
750	1176	390
751	1178	388
752	1180	387
753	1181	385
754	1182	383
755	1184	382
756	1185	380
757	1186	378
758	1187	377
759	1188	375
760	1190	373
761	1193	372
762	1194	371
763	1196	369
764	1197	367
765	1199	366
766	1200	364
767	1201	363
768	1203	361
769	1206	360
770	1207	358
771	1209	357
772	1211	355
773	1212	354
774	1213	352
775	1215	350
776	1216	349
777	1217	347
778	1220	346
779	1222	344
780	1223	342
781	1224	341
782	1225	339
783	1227	338
784	1228	336
785	1229	334
786	1231	333
787	1232	331
788	1234	330
789	1236	328
790	1238	327
791	1239	325
792	1240	323
793	1241	322
794	1243	320
795	1244	318
796	1246	317
797	1248	316
798	1250	314
799	1251	312
800	1252	311
801	1254	309
802	1255	307
803	1256	306
804	1258	304
805	1259	303
806	1261	301
807	1263	300
808	1264	298
809	1266	296
810	1267	295
811	1268	293
812	1269	292
813	1270	290
814	1272	288
815	1273	287
816	1276	285
817	1277	284
818	1279	282
819	1280	281
820	1281	279
821	1282	277
822	1284	276
823	1285	274
824	1286	272
825	1288	271
826	1290	270
827	1292	268
828	1293	266
829	1295	265
830	1296	263
831	1297	261
832	1298	260
833	1299	258
834	1301	257
835	1302	255
836	1305	254
837	1306	252
838	1307	250
839	1308	249
840	1309	247
841	1311	246
842	1312	244
843	1313	242
844	1316	241
845	1318	239
846	1319	238
847	1320	236
848	1322	235
849	1323	233
850	1324	231
851	1325	230
852	1327	228
853	1328	227
854	1331	225
855	1332	224
856	1333	222
857	1335	220
858	1336	219
859	1337	217
860	1338	216
861	1340	214
862	1341	212
863	1342	211
864	1344	209
865	1346	208
866	1347	206
867	1349	205
868	1350	203
869	1351	201
870	1352	200
871	1354	198
872	1355	197
873	1357	195
874	1361	194
875	1363	192
876	1364	191
877	1366	189
878	1368	188
879	1369	186
880	1371	185
881	1374	183
882	1376	182
883	1378	180
884	1379	179
885	1381	177
886	1382	176
887	1383	174
888	1385	172
889	1387	171
890	1389	169
891	1390	168
892	1391	166
893	1392	165
894	1394	163
895	1395	161
896	1396	160
897	1397	158
898	1399	157
899	1400	155
900	1402	154
901	1404	152
902	1405	150
903	1406	149
904	1407	147
905	1409	146
906	1410	144
907	1411	143
908	1412	141
909	1413	139
910	1416	138
911	1417	136
912	1418	135
913	1420	133
914	1421	132
915	1422	130
916	1423	128
917	1424	127
918	1426	125
919	1427	124
920	1430	122
921	1431	121
922	1433	119
923	1434	117
924	1435	116
925	1436	114
926	1438	113
927	1439	111
928	1440	110
929	1442	108
930	1445	107
931	1446	105
932	1447	103
933	1448	102
934	1450	100
935	1451	99
936	1452	97
937	1453	96
938	1454	94
939	1455	92
940	1458	91
941	1460	89
942	1461	88
943	1463	86
944	1464	85
945	1465	83
946	1466	82
947	1467	80
948	1469	78
949	1471	77
950	1473	75
951	1474	74
952	1475	72
953	1477	71
954	1478	69
955	1479	68
956	1480	66
957	1481	64
958	1483	63
959	1484	61
960	1486	60
961	1488	58
962	1489	57
963	1490	55
964	1492	54
965	1493	52
966	1494	50
967	1495	49
968	1496	47
969	1497	46
970	1499	44
971	1501	43
972	1502	41
973	1503	40
974	1505	38
975	1506	37
976	1507	35
977	1508	33
978	1510	32
979	1511	30
980	1512	29
981	1514	27
982	1516	26
983	1517	24
984	1519	23
