iter	RMSE
218	2.993274169
219	2.991898435
220	2.98747311
221	2.985806137
222	2.983259962
223	2.981336443
224	2.977357634
225	2.975449329
226	2.973060107
227	2.97168962
228	2.96977501
229	2.968069445
230	2.967681321
231	2.964612045
232	2.963917756
233	2.960863943
234	2.959015932
235	2.957793549
236	2.956679039
237	2.955219877
238	2.954524961
239	2.954036758
240	2.953487637
241	2.951502626
242	2.94772134
243	2.945599849
244	2.942960672
245	2.936805499
246	2.935592074
247	2.933081085
248	2.931091093
249	2.926324569
250	2.92551338
251	2.925077617
252	2.922496951
253	2.920967374
254	2.917638461
255	2.916147723
256	2.913944573
257	2.913692457
258	2.910388167
259	2.908509285
260	2.907030242
261	2.904550812
262	2.902234265
263	2.897662136
264	2.89479586
265	2.893809398
266	2.893535292
267	2.890692764
268	2.888114835
269	2.885344533
270	2.879139342
271	2.876905933
272	2.875463431
273	2.874932455
274	2.874566404
275	2.871298324
276	2.870021795
277	2.867284539
278	2.866050807
279	2.862980226
280	2.859380261
281	2.856110469
282	2.85565305
283	2.852645882
284	2.846855397
285	2.846522244
286	2.845769115
287	2.843488284
288	2.843155167
289	2.842829321
290	2.839545129
291	2.836174147
292	2.83486202
293	2.832461861
294	2.831908677
295	2.82661732
296	2.825239346
297	2.82479491
298	2.821597156
299	2.820391133
300	2.816591081
301	2.816271204
302	2.813275934
303	2.812750204
304	2.812197489
305	2.81070091
306	2.806963806
307	2.801020162
308	2.798204306
309	2.793236799
310	2.791716824
311	2.788713637
312	2.788097889
313	2.784262091
314	2.781146029
315	2.780681543
316	2.776185856
317	2.771242316
318	2.767758856
319	2.76568117
320	2.761072511
321	2.760795268
322	2.756396357
323	2.756153031
324	2.749865859
325	2.747891754
326	2.745652861
327	2.744943742
328	2.7405888
329	2.740142595
330	2.735316751
331	2.733016449
332	2.732768016
333	2.730356764
334	2.727641412
335	2.726309452
336	2.725894075
337	2.723266793
338	2.720974569
339	2.717342516
340	2.71400253
341	2.713778921
342	2.711157042
343	2.709616752
344	2.707937373
345	2.70565002
346	2.705358132
347	2.702794967
348	2.699924685
349	2.697036323
350	2.692541891
351	2.68868711
352	2.68360271
353	2.683386478
354	2.678164713
355	2.674978751
356	2.671868163
357	2.669342711
358	2.668588919
359	2.667567615
360	2.662617274
361	2.66113513
362	2.659677618
363	2.658634488
364	2.658362029
365	2.655616917
366	2.651165943
367	2.649073085
368	2.644202716
369	2.642591056
370	2.640036393
371	2.636034028
372	2.63221893
373	2.63205234
374	2.630059769
375	2.625733221
376	2.623049736
377	2.618957865
378	2.616545214
379	2.615657296
380	2.61407568
381	2.61130506
382	2.608358023
383	2.606135321
384	2.60530357
385	2.602794818
386	2.59904713
387	2.596065661
388	2.594061468
389	2.593651961
390	2.591131028
391	2.590333449
392	2.587475308
393	2.584945564
394	2.58276548
395	2.581375336
396	2.579063803
397	2.576752405
398	2.575088634
399	2.572057358
400	2.570893743
401	2.570204643
402	2.567422284
403	2.566183871
404	2.562456795
405	2.559225042
406	2.55654299
407	2.554744393
408	2.551832849
409	2.551037175
410	2.546967559
411	2.545064619
412	2.544330897
413	2.541915697
414	2.539009029
415	2.537236774
416	2.534573436
417	2.53401323
418	2.532508261
419	2.53025834
420	2.527978224
421	2.527818801
422	2.525524634
423	2.524468389
424	2.520478056
425	2.517368195
426	2.514128565
427	2.512462772
428	2.510094001
429	2.507247339
430	2.505162573
431	2.503853386
432	2.50115833
433	2.499273513
434	2.495781835
435	2.493791574
436	2.492501533
437	2.490592807
438	2.488101106
439	2.486239717
440	2.483347235
441	2.482387248
442	2.481806622
443	2.479118741
444	2.476452752
445	2.474685787
446	2.47263601
447	2.471455597
448	2.471306048
449	2.471101906
450	2.470959593
451	2.469637778
452	2.466569275
453	2.465269267
454	2.464791784
455	2.463689882
456	2.460376151
457	2.458054505
458	2.454376605
459	2.453880404
460	2.453738717
461	2.45123087
462	2.449836109
463	2.447466313
464	2.444648414
465	2.443166433
466	2.440389292
467	2.438775454
468	2.438017461
469	2.435539739
470	2.432684882
471	2.432529436
472	2.430103859
473	2.427176075
474	2.426448586
475	2.424555242
476	2.423196865
477	2.421014303
478	2.418195927
479	2.416593049
480	2.415978607
481	2.412578479
482	2.41244701
483	2.410583405
484	2.409185066
485	2.40656298
486	2.40370355
487	2.402511286
488	2.401808553
489	2.399972167
490	2.397182139
491	2.395359244
492	2.394843415
493	2.393041861
494	2.391324107
495	2.389371298
496	2.386657659
497	2.385098028
498	2.382226512
499	2.380275913
500	2.378814545
501	2.378686315
502	2.376573618
503	2.374633987
504	2.370429987
505	2.369562573
506	2.368411016
507	2.365401489
508	2.364942297
509	2.362679402
510	2.361507384
511	2.359683724
512	2.359545285
513	2.358133599
514	2.354778766
515	2.351887439
516	2.349309518
517	2.346901136
518	2.345459628
519	2.34344463
520	2.340861528
521	2.339997123
522	2.3390337
523	2.337590874
524	2.337359827
525	2.336691888
526	2.333821396
527	2.332045166
528	2.327922795
529	2.326049864
530	2.323356078
531	2.32027816
532	2.317010958
533	2.315334545
534	2.311707059
535	2.309357935
536	2.307107056
537	2.305269517
538	2.305123847
539	2.303649289
540	2.300905052
541	2.299133041
542	2.298994767
543	2.29884764
544	2.297446372
545	2.294956609
546	2.293993826
547	2.291981746
548	2.289018211
549	2.285989176
550	2.284071584
551	2.283176596
552	2.280638998
553	2.278337058
554	2.276391883
555	2.276160411
556	2.273779526
557	2.271324482
558	2.269924062
559	2.267150565
560	2.265286385
561	2.264652485
562	2.262795127
563	2.259381504
564	2.257010519
565	2.256716288
566	2.254028358
567	2.252087748
568	2.249682675
569	2.249580022
570	2.248811312
571	2.247488863
572	2.245882759
573	2.243769283
574	2.240980458
575	2.238673384
576	2.237702858
577	2.236258453
578	2.235476358
579	2.233389151
580	2.231920551
581	2.230374412
582	2.228602244
583	2.227461435
584	2.226276474
585	2.226041704
586	2.223455022
587	2.222449359
588	2.218467264
589	2.216688364
590	2.214640063
591	2.213904206
592	2.211961091
593	2.210952618
594	2.208650838
595	2.206186643
596	2.205302986
597	2.203259133
598	2.202285955
599	2.201742302
600	2.201558769
601	2.199889455
602	2.198546221
603	2.197935151
604	2.196885299
605	2.196806667
606	2.194820235
607	2.19361351
608	2.193314274
609	2.192121347
610	2.189972874
611	2.187717896
612	2.18752918
613	2.184951157
614	2.183055514
615	2.181680136
616	2.181506479
617	2.179590334
618	2.179422148
619	2.178315556
620	2.178146101
621	2.177194913
622	2.174795693
623	2.174133962
624	2.173039487
625	2.171561878
626	2.170989869
627	2.16886127
628	2.166232284
629	2.164003521
630	2.161820976
631	2.161667859
632	2.160721742
633	2.159045947
634	2.158647944
635	2.156962359
636	2.155069748
637	2.15331826
638	2.151461044
639	2.151246872
640	2.150687998
641	2.149309133
642	2.147925684
643	2.146505732
644	2.145147283
645	2.143212689
646	2.140767338
647	2.139809217
648	2.139766647
649	2.138175616
650	2.13665051
651	2.134583069
652	2.132295611
653	2.130180978
654	2.129429776
655	2.127401068
656	2.125362515
657	2.123407739
658	2.121342839
659	2.119362852
660	2.11896089
661	2.117312745
662	2.116951129
663	2.115561223
664	2.113451791
665	2.112564369
666	2.112215928
667	2.110724221
668	2.107828619
669	2.107611828
670	2.105002577
671	2.104279888
672	2.102972371
673	2.1002836
674	2.098565714
675	2.096982378
676	2.095291307
677	2.093815966
678	2.092059765
679	2.092009482
680	2.090362912
681	2.090190526
682	2.089489453
683	2.087526956
684	2.085372136
685	2.085222727
686	2.083281386
687	2.081891897
688	2.081502129
689	2.080658172
690	2.079395656
691	2.078055643
692	2.075959143
693	2.074644241
694	2.073249564
695	2.07145919
696	2.069800038
697	2.068006172
698	2.065306636
699	2.064064369
700	2.062317268
701	2.061170833
702	2.059243622
703	2.055805191
704	2.055261706
705	2.054364514
706	2.053575562
707	2.051948453
708	2.050718967
709	2.049937151
710	2.048206697
711	2.046347267
712	2.045947194
713	2.042600017
714	2.0400013
715	2.038720006
716	2.036424407
717	2.036290304
718	2.035591099
719	2.03327699
720	2.032033238
721	2.029486571
722	2.027194167
723	2.026965434
724	2.025574384
725	2.025446904
726	2.024364505
727	2.021647364
728	2.020515938
729	2.020465813
730	2.019048436
731	2.01739424
732	2.015341728
733	2.014464923
734	2.013891039
735	2.012511114
736	2.011164668
737	2.010536337
738	2.008425765
739	2.005768097
740	2.004869309
741	2.004038949
742	2.002320296
743	1.999942737
744	1.998394282
745	1.996976447
746	1.996242335
747	1.99594752
748	1.994358968
749	1.992854231
750	1.992118186
751	1.991859238
752	1.991358478
753	1.990577559
754	1.990146466
755	1.989424585
756	1.988279911
757	1.985820952
758	1.983905393
759	1.982383728
760	1.981535346
761	1.980429398
762	1.979769966
763	1.978017651
764	1.977507831
765	1.975980417
766	1.973568545
767	1.973273617
768	1.971634925
769	1.971531865
770	1.970696373
771	1.97014425
772	1.967538229
773	1.966007705
774	1.965825108
775	1.963691902
776	1.96173769
777	1.961243231
778	1.959391934
779	1.957627645
780	1.95759856
781	1.957045921
782	1.955776315
783	1.955440197
784	1.955135588
785	1.954209211
786	1.95394889
787	1.952554793
788	1.952311346
789	1.950830793
790	1.949524663
791	1.947864438
792	1.947000658
793	1.945972664
794	1.945559339
795	1.943763341
796	1.94252751
797	1.939499474
798	1.937682587
799	1.93554002
800	1.934626274
801	1.934493115
802	1.933940976
803	1.932241876
804	1.930959562
805	1.929303654
806	1.927208921
807	1.926139027
808	1.924767043
809	1.923567051
810	1.922954681
811	1.92204983
812	1.920275388
813	1.919901247
814	1.91857871
815	1.915902796
816	1.914798506
817	1.914522513
818	1.914460396
819	1.914120715
820	1.912930627
821	1.911148842
822	1.910712205
823	1.908553063
824	1.907362699
825	1.906314436
826	1.904481423
827	1.902840806
828	1.902608391
829	1.901411594
830	1.900272185
831	1.898641022
832	1.897087309
833	1.896630898
834	1.896137651
835	1.893624532
836	1.893164056
837	1.891657707
838	1.889595701
839	1.888304233
840	1.887061059
841	1.886193181
842	1.885035392
843	1.884572578
844	1.882075623
845	1.880594694
846	1.878317727
847	1.877893549
848	1.877245141
849	1.876482179
850	1.874847625
851	1.87345283
852	1.871576445
853	1.871021812
854	1.869916788
855	1.868695102
856	1.866780678
857	1.865967205
858	1.864309333
859	1.86213069
860	1.859991954
861	1.858974765
862	1.858222781
863	1.857902703
864	1.856465743
865	1.854641907
866	1.853390603
867	1.852325701
868	1.851595493
869	1.851499146
870	1.848844702
871	1.847603869
872	1.84670703
873	1.845907499
874	1.84506195
875	1.844548224
876	1.844061666
877	1.843537211
878	1.842255803
879	1.841472526
880	1.841344138
881	1.839338879
882	1.838143151
883	1.836812803
884	1.835065089
885	1.834213714
886	1.833337597
887	1.831188649
888	1.829056372
889	1.827490134
890	1.825892666
891	1.824878142
892	1.82435834
893	1.82274383
894	1.821837241
895	1.820452706
896	1.818943143
897	1.817437578
898	1.816063215
899	1.815945935
900	1.815441048
901	1.814379692
902	1.813323273
903	1.812265093
904	1.811429537
905	1.81113517
906	1.810944551
907	1.809427361
908	1.808693166
909	1.808005827
910	1.806767741
911	1.806672033
912	1.805906331
913	1.804716027
914	1.802880323
915	1.802403653
916	1.800958361
917	1.798984194
918	1.798663276
919	1.798234601
920	1.797491276
921	1.797405317
922	1.795126971
923	1.793525435
924	1.792808446
925	1.792014011
926	1.791100796
927	1.789880084
928	1.789311449
929	1.789255931
930	1.788381192
931	1.788244792
932	1.786846414
933	1.785082349
934	1.782544728
935	1.78246293
936	1.780999661
937	1.779461961
938	1.778539362
939	1.777514504
940	1.775820847
941	1.775112125
942	1.775029123
943	1.7735741
944	1.773536645
945	1.771896965
946	1.771593524
947	1.771165242
948	1.770225646
949	1.769768637
950	1.769643559
951	1.768520114
952	1.767418958
953	1.767278231
954	1.767113405
955	1.765765344
956	1.765584222
957	1.763805062
958	1.762181488
959	1.762150156
960	1.762071336
961	1.760966248
962	1.76059562
963	1.760336204
964	1.75988815
965	1.758242676
966	1.757401999
967	1.756596702
968	1.756539435
969	1.756393893
970	1.756289502
971	1.756093267
972	1.754714191
973	1.753725115
974	1.75316329
975	1.75131323
976	1.7511052
977	1.750238542
978	1.748784761
979	1.747146983
980	1.745382348
981	1.745329638
982	1.745276115
983	1.744581506
984	1.743477657
985	1.741677828
986	1.740307116
987	1.740002108
988	1.738706735
989	1.737664431
990	1.737189453
991	1.73616849
992	1.734171424
993	1.732697972
994	1.732093434
995	1.730861617
996	1.72951969
997	1.728539602
998	1.728152337
999	1.727324882
